source_type,lr_no,date,from_customer,to_customer,place,quantity,amount,payment_method,accounted_date,truck_no
RECEIVED,1590,20-11-2025,,DESIRE KOCHI,COCHIN,10,2500.0,1,,TN 38 DK 1300
RECEIVED,1592,20-11-2025,,SG MERLION,TRIVANDRUM,1,400.0,1,,TN 38 DK 1300
RECEIVED,1593,20-11-2025,,JERKAN TRADERS,THAMARASERY,2,700.0,1,,TN 38 DK 1300
RECEIVED,1594,20-11-2025,,TRADE HOUSE,PAYYANUR,5,1800.0,1,,TN 38 DK 1300
RECEIVED,1595,20-11-2025,,CIG & COMPANY,KUNNAMKULAM,15,2000.0,1,,TN 38 DK 1300
RECEIVED,1596,20-11-2025,,RAMDEV TRADERS,KAYAMKULAM,2,800.0,1,,TN 38 DK 1300
RECEIVED,1597,20-11-2025,,EAGLE BROOM,KANNUR,2,1100.0,1,,TN 38 DK 1300
BOOKING,571,20-11-2025,SHUBH SWASAN,SKINCI PRODUCTS,KANNUR,5,1250.0,1,,TN 38 DK 1300
BOOKING,572,20-11-2025,HITECH ELECTRICALS,USHA AGENCIES,ERNAKULAM,2,400.0,1,,TN 38 DK 1300
BOOKING,573,20-11-2025,MAGZ POLYMERS,FAROOK KHAN,CALICUT,3,1650.0,1,,TN 38 DK 1300
BOOKING,574,20-11-2025,ROSHAN CHEMICALS,GRANDTECH,ERNAKULAM,50,5000.0,1,,TN 38 DK 1300
BOOKING,575,20-11-2025,POWER POSITIVE,NEW GOLDEN DECOR,CHANGANACHERY,1,300.0,1,,TN 38 DK 1300
BOOKING,576,20-11-2025,PRIME TOYS INDIA,WINNER TOY LAND,COIMBATORE,2,1000.0,1,,TN 38 DK 1300
BOOKING,577,20-11-2025,SRI BALAJI,SUSRUTA CAB,BANGALORE,20,4000.0,1,,TN 38 DK 1300
BOOKING,578,20-11-2025,KAMAL THE FLOWER,SHEETAL FLOWERS,MANGALORE,4,1500.0,1,,TN 38 DK 1300
BOOKING,579,20-11-2025,KAMAL THE FLOWER,SUPREME DECORATIVE,KASARGOD,5,1000.0,1,,TN 38 DK 1300
BOOKING,001,20-11-2025,SOTHERN ENTERPRISES,ARAVIND PACKAGES,TIRUPUR,1,156.0,3,,TN 38 DK 3547
BOOKING,1000,20-11-2025,SOTHERN ENTERPRISES,SHRI VIGNESHWARA,TIRUPUR,25,616.0,3,,TN 38 DK 3547
RECEIVED,1561,20-11-2025,,GULF POINT,TIRUR,1,300.0,1,,TN 38 DK 3547
RECEIVED,1562,20-11-2025,,SNEHITHA,TRIVANDRUM,4,1600.0,1,,TN 38 DK 3547
