LR No,Date,Customer,Place,Quantity,Amount,Payment Method,Type
467,13-11-2025,SARAVANAN,COIMBATORE,4,800.0,1,Booking
468,13-11-2025,ENGINEERING POLY,MADURAI,4,250.0,1,Booking
469,13-11-2025,RAZI'S ENTERPRISES,PERUMBAVOOR,6,2600.0,1,Booking
470,13-11-2025,P.K.D TUBES,PALAKAD,2,1100.0,1,Booking
471,13-11-2025,SV GURU OIL,COIMBATORE,1,900.0,1,Booking
472,13-11-2025,SHEETAL FLOWERS,MANGALORE,7,2300.0,1,Booking
473,13-11-2025,PRN MARKETING,TIRUPUR,9,2300.0,1,Booking
474,13-11-2025,KESAR AGENCIES,ERNAKULAM,5,2250.0,1,Booking
475,13-11-2025,MANGALA HYGIENE,MANGALORE,4,1000.0,1,Booking
476,13-11-2025,WINNER TOY LAND,COIMBATORE,6,2100.0,1,Booking
477,13-11-2025,ESCO PIPES PVT,KANJIKODE,1,4500.0,1,Booking
478,13-11-2025,SRI JAYAM INDUSTRIAL,TIRUPUR,1,150.0,1,Booking
479,13-11-2025,GOLDEN DESIZNE,TIRUPUR,3,600.0,1,Booking
989,14-11-2025,BHARATH PAPER,COIMBATORE,2,360.0,3,Booking
990,14-11-2025,SOUTHERN ENTERPRISES,ERODE,1,280.0,3,Booking
991,14-11-2025,M/S KAISER PRINT,COIMBATORE,2,560.0,3,Booking
992,14-11-2025,M/S SELVA OFFSET,TIRUPUR,2,512.0,3,Booking
993,14-11-2025,ABARNA COLOUR,TIRUPUR,2,156.0,3,Booking
994,14-11-2025,SVS OFFSET,TIRUPUR,6,1136.0,3,Booking
995,14-11-2025,SREE VASAA PRINT,TIRUPUR,2,512.0,3,Booking
996,14-11-2025,ABINAV COLOURS,TIRUPUR,17,772.0,3,Booking
997,14-11-2025,STERLING DYE,TIRUPUR,10,330.0,3,Booking
480,13-11-2025,MOOKAMBIKA,COIMBATORE,1,200.0,1,Booking
481,13-11-2025,SRI BALAJI,COIMBATORE,1,150.0,1,Booking
482,14-11-2025,MATTATHIL TRADING,KOTTAYAM,4,2200.0,1,Booking
483,14-11-2025,FAROOK KHAN,CALICUT,3,1650.0,1,Booking
484,14-11-2025,EAGLE BROOMS,KANNUR,2,1100.0,1,Booking
485,14-11-2025,P.T ENTERPRISES,PATTAMBI,1,550.0,1,Booking
486,14-11-2025,JOS ELECTRICALS,ERNAKULAM,1,300.0,1,Booking
487,14-11-2025,FLOWER LAND,CHALAKUDY,3,1000.0,1,Booking
488,14-11-2025,KERALA AUTO MOBILES,CALICUT,1,200.0,1,Booking
489,14-11-2025,USHA AGENCIES,ERNAKULAM,7,1750.0,1,Booking
490,14-11-2025,KPS INDUSTRIES,TIRUPUR,6,1200.0,1,Booking
