LR No,Date,To Customer,From Place,To Place,Quantity,Amount,Payment Method,Accounted Date
1414,13-11-2025,WE ONE TRADERS,WALLTAX,PERRUMBAVOOR,1,400.0,1,
1415,13-11-2025,VARIETY THREAD,WALLTAX,TRIVANDRUM,5,1300.0,1,
1417,13-11-2025,NR WALL 2 WALL,WALLTAX,THRISSUR,1,300.0,1,
1418,13-11-2025,ROYAL STEEL,WALLTAX,TRIVANDRUM,1,400.0,1,
1419,13-11-2025,KARUNYAM TEX,WALLTAX,ALAPUZHA,1,450.0,1,
1425,13-11-2025,ROSH ADVERTISM,WALLTAX,PAYYANUR,1,250.0,2,
1427,13-11-2025,BROTHERS THREAD,WALLTAX,KANNUR,3,900.0,1,
1428,13-11-2025,RAJESH PG,WALLTAX,MALAPURAM,2,600.0,1,
1429,13-11-2025,ARJ VISION,WALLTAX,KANNUR,3,900.0,1,
1430,13-11-2025,LUMENS LIGHTS,WALLTAX,PALAKAD,6,1700.0,1,
1431,13-11-2025,K.M ENTERPRISES,WALLTAX,KANNUR,6,2000.0,1,
1432,13-11-2025,VARIETY GIFT,WALLTAX,ERNAKULAM,1,300.0,1,
1433,13-11-2025,MD YASAR,WALLTAX,MUKKAM,1,500.0,1,
1434,13-11-2025,PRIDE FASHION,WALLTAX,THRISSUR,1,300.0,1,
1435,13-11-2025,SURESH KUMAR,WALLTAX,KANNUR,1,400.0,1,
1436,13-11-2025,FASHION CURTAINS,WALLTAX,PATTAMBI,1,250.0,1,
1420,13-11-2025,MODCON HEAL,WALLTAX,THAZHAKARA,2,600.0,1,
1421,13-11-2025,EASE BUILDER,WALLTAX,TIRUVALLA,1,400.0,1,
1437,13-11-2025,ROYAL STEEL,WALLTAX,TRIVANDRUM,3,1500.0,1,
1438,13-11-2025,SEL JEGAT,WALLTAX,SIVAKASI,3,600.0,1,
1440,13-11-2025,THE EXEXTIVE,WALLTAX,THRISSUR,3,1700.0,2,
1441,13-11-2025,M/S PRIDE,WALLTAX,THRISSUR,1,300.0,1,
1443,13-11-2025,MD BASHEER,WALLTAX,AREEKODE,1,250.0,1,
1444,13-11-2025,BLUE BELL,WALLTAX,EDAPPAL,1,250.0,1,
